OGLE-LMC-DPV-047 16.151 16.325   5.815552 0.000087 3399.85199 0.028  211.953  0.094 3250.411 0.052
OGLE-LMC-DPV-048 14.283 14.367   9.969451 0.000326 3396.45175 0.031  293.353  0.046 3204.996 0.209
OGLE-LMC-DPV-049 16.234 16.505   9.138882 0.000031 3390.99098 0.812  370.975  0.149 3043.442 0.441
OGLE-LMC-DPV-050 16.426 16.714   5.662170 0.000097 3394.36303 0.030  253.058  0.173 3317.787 0.047
OGLE-LMC-DPV-051 17.594 17.961   6.514766 0.000018 3397.55715 0.413  225.508  0.066 3200.149 0.267
OGLE-LMC-DPV-052 16.525 16.727  10.747403 0.000180 3395.09040 0.090  365.632  0.082 3398.811 0.284
OGLE-LMC-DPV-053 14.920 15.084  28.497059 0.000398 3389.97188 0.620  892.977  8.549 3037.953 0.064
OGLE-LMC-DPV-054 16.229 16.332   5.795985 0.000045 3399.86452 0.063  254.710  0.267 3324.843 0.020
OGLE-LMC-DPV-055 15.728 16.256   6.290077 0.000096 3395.20321 0.028  204.750  0.486 3398.886 0.077
OGLE-LMC-DPV-056 15.374 15.411   7.284285 0.000017 3394.61820 0.666  176.146  0.077 3365.581 0.195
OGLE-LMC-DPV-057 17.224 17.470   5.815436 0.000084 3398.45153 0.069  204.190  0.080 3385.926 0.138
OGLE-LMC-DPV-058 15.527 15.623   8.307366 0.000032 3392.12700 0.229  312.487  0.056 3246.488 0.251
OGLE-LMC-DPV-059 14.522 14.703   2.022272 0.000038 3399.67406 0.057   54.726  0.036 3362.960 0.068
OGLE-LMC-DPV-060 16.615 16.803   6.517431 0.000015 3399.97554 0.228  206.592  0.102 3258.435 0.059
OGLE-LMC-DPV-061 14.648 14.913  18.153548 0.000211 3391.65825 0.412  644.400  1.985 3285.374 0.059
OGLE-LMC-DPV-062 15.823 15.823   6.904830 0.000015 3398.09571 0.360  229.080  0.062 3291.279 0.187
OGLE-LMC-DPV-063 16.206 17.342  45.771702 0.000755 3397.53310 0.660 1288.610  2.176 2803.196 0.178
OGLE-LMC-DPV-064 15.850 15.878   4.820440 0.000017 3396.44471 0.081  141.861  0.021 3287.037 0.098
OGLE-LMC-DPV-065 14.717 14.739  10.031645 0.000033 3392.27957 1.103  266.670  0.227 3241.135 0.172
OGLE-LMC-DPV-066 16.129 16.335   9.630734 0.000205 3397.42877 0.117  334.670  0.117 3154.990 0.422
OGLE-LMC-DPV-067 16.128 16.270   5.738103 0.000082 3395.05962 0.036  179.960  0.043 3287.177 0.101
OGLE-LMC-DPV-068 17.426 17.647   3.776995 0.000031 3396.54667 0.056  116.429  0.063 3323.678 0.041
OGLE-LMC-DPV-069 15.708 15.873   6.711177 0.000202 3395.43045 0.051  193.907  0.103 3232.009 0.129
OGLE-LMC-DPV-070 16.270 16.395   6.571778 0.000027 3395.21076 0.195  188.306  0.076 3312.842 0.113
OGLE-LMC-DPV-071 17.699 17.964   4.297976 0.000052 3399.14615 0.092  105.087  0.121 3378.424 0.034
OGLE-LMC-DPV-072 16.769 17.044   6.426544 0.000409 3398.48178 0.026  212.353  0.521 3328.553 0.035
OGLE-LMC-DPV-073 17.711    -    27.731474 0.000723 3375.90015 0.690 1033.261  8.232 3112.203 0.141
OGLE-LMC-DPV-074 16.817 17.953  38.159229 0.000306 3370.26235 0.568 1544.712  5.107 2245.756 0.084
OGLE-LMC-DPV-075 18.727 18.611   3.629066 0.000027 3396.75737 0.314  119.973  0.136 3388.812 0.120
OGLE-LMC-DPV-076 15.743 17.296   3.629083 0.000065 3398.64178 0.007  120.230  0.030 3394.974 0.038
OGLE-LMC-DPV-077 16.800 16.987   6.771900 0.000208 3398.27672 0.059  250.063  0.292 3270.781 0.092
OGLE-LMC-DPV-078 16.198 16.405   7.263067 0.000051 3399.72625 0.069  231.784  0.050 3268.137 0.145
OGLE-LMC-DPV-079 17.003 17.304   6.772934 0.000256 3394.04291 0.090  214.304  0.123 3211.340 0.321
OGLE-LMC-DPV-080 15.739 15.899   7.317352 0.000147 3394.55559 0.037  227.404  0.065 3282.836 0.098
OGLE-LMC-DPV-081 16.850 17.083   6.934099 0.000161 3394.70316 0.128  243.044  0.082 3249.870 0.429
OGLE-LMC-DPV-082 16.440 16.524   4.692743 0.000024 3395.73826 0.096  142.264  0.066 3391.504 0.061
OGLE-LMC-DPV-083 15.402 15.404   6.702378 0.000080 3396.18211 0.078  200.685  0.065 3245.044 0.164
OGLE-LMC-DPV-084 15.159 15.377  15.858992 0.000224 3392.32310 0.092  602.381  0.509 2981.264 0.139
OGLE-LMC-DPV-085 14.643 14.501  11.514977 0.000653 3389.48991 0.025  537.655  2.221 3144.314 0.032
OGLE-LMC-DPV-086 16.740 16.944   4.530357 0.000067 3396.12614 0.052  158.441  0.083 3375.847 0.085
OGLE-LMC-DPV-087 16.983 17.129   4.270123 0.000020 3399.56327 0.092  136.535  0.046 3385.670 0.073
OGLE-LMC-DPV-088 14.719 14.795   8.612201 0.000988 3398.09407 0.019  277.479  0.252 3189.416 0.068
OGLE-LMC-DPV-089 16.186 16.462   7.182368 0.000070 3394.07564 0.070  258.321  0.051 3290.909 0.210
OGLE-LMC-DPV-090 16.990 17.273   5.596770 0.000036 3398.60311 0.108  179.360  0.130 3300.033 0.322
OGLE-LMC-DPV-091 17.512 17.718   3.982702 0.000071 3398.03624 0.141  152.038  0.374 3345.645 0.055
OGLE-LMC-DPV-092 15.148 15.367  18.466259 0.000604 3381.74816 0.028  976.820  1.203 2433.721 0.075
OGLE-LMC-DPV-093 16.940 17.128   6.288132 0.000069 3398.15495 0.049  239.683  0.269 3352.768 0.034
OGLE-LMC-DPV-094 16.744 17.020   8.108989 0.000039 3394.25740 0.173  309.418  0.342 3236.109 0.047
OGLE-LMC-DPV-095 15.379 15.517  15.721572 0.000591 3388.62181 0.023  491.485  0.319 3135.981 0.062
OGLE-LMC-DPV-096 14.324 14.463   9.524614 0.000620 3391.52125 0.021   71.020  0.053 3370.518 0.019
OGLE-LMC-DPV-097 16.086 16.227   7.751749 0.000202 3394.37383 0.177  302.622  0.109 3374.870 0.717
OGLE-LMC-DPV-098 16.177 16.262   5.620760 0.000034 3399.31633 0.215  191.740  0.074 3320.572 0.186
OGLE-LMC-DPV-099 15.683 15.698   5.593418 0.000121 3395.28816 0.061  191.796  0.221 3332.670 0.066
OGLE-LMC-DPV-100 17.701 17.886   3.584167 0.000077 3398.98094 0.058  131.397  0.103 3399.017 0.098
OGLE-LMC-DPV-101 16.723 16.946   8.138251 0.000010 3392.40202 1.079  311.080  0.110 3100.204 0.118
OGLE-LMC-DPV-102 17.088 17.448   5.869828 0.000159 3395.09722 0.053  196.835  0.197 3310.219 0.070
OGLE-LMC-DPV-103 15.475 15.833  27.806411 0.005243 3378.20076 0.077  931.680  4.080 3112.535 0.086
OGLE-LMC-DPV-104 16.451 16.875  10.920152 0.000370 3390.29922 0.039  414.661  0.152 3336.576 0.229
OGLE-LMC-DPV-105 14.841 15.019   7.554796 0.000241 3395.22451 0.053  217.047  0.088 3241.807 0.186
OGLE-LMC-DPV-106 16.107 16.303  10.334393 0.000295 3396.44098 0.171  404.119  0.335 3224.447 0.350
OGLE-LMC-DPV-107 16.524 16.801   6.967809 0.000079 3397.87994 0.104  282.033  0.115 3252.832 0.178
OGLE-LMC-DPV-108 16.787 17.155   6.633230 0.000051 3397.86807 0.212  195.159  0.090 3314.692 0.165
OGLE-LMC-DPV-109 17.297 17.624   5.116996 0.000016 3395.99646 0.636  170.596  0.167 3278.130 0.110
OGLE-LMC-DPV-110 15.315 15.507   7.153469 0.000385 3394.62354 0.027  208.937  0.103 3213.182 0.131
OGLE-LMC-DPV-111 16.905 17.148   4.723904 0.000050 3397.94490 0.118  149.424  0.060 3345.038 0.165
OGLE-LMC-DPV-112 16.792 17.033   8.645031 0.000019 3393.79257 1.219  339.775  0.171 3113.367 0.242
OGLE-LMC-DPV-113 17.053 17.401   7.351079 0.000094 3397.61622 0.102  266.018  0.085 3394.330 0.232
